origin,destination,departure,arrival,vehicle_class,price,fare,duration
MADRID,BARCELONA,2019-04-14 16:30:00,2019-04-14 19:15:00,Turista,107.7,Flexible,165
MADRID,SEVILLA,2019-04-14 17:00:00,2019-04-14 19:38:00,Turista,71.4938,Flexible,158
MADRID,BARCELONA,2019-04-14 17:30:00,2019-04-14 20:40:00,Turista,107.7,Flexible,190
MADRID,BARCELONA,2019-04-14 18:00:00,2019-04-14 20:30:00,Turista,71.4938,Flexible,150
MADRID,BARCELONA,2019-04-14 18:00:00,2019-04-14 20:30:00,Preferente,214.2,Flexible,150
MADRID,SEVILLA,2019-04-14 18:00:00,2019-04-14 20:32:00,Turista,76.3,Flexible,152
MADRID,BARCELONA,2019-04-14 18:30:00,2019-04-14 21:20:00,Turista Plus,102.15,Promo,170
MADRID,SEVILLA,2019-04-14 18:35:00,2019-04-14 21:08:00,Preferente,71.4938,Flexible,153
MADRID,SEVILLA,2019-04-14 19:00:00,2019-04-14 21:38:00,Turista,76.3,Flexible,158
MADRID,SEVILLA,2019-04-14 19:00:00,2019-04-14 21:38:00,Turista,71.4938,Flexible,158
MADRID,SEVILLA,2019-04-14 19:30:00,2019-04-14 22:05:00,Turista,76.3,Flexible,155
MADRID,SEVILLA,2019-04-14 19:30:00,2019-04-14 22:05:00,Turista,71.4938,Flexible,155
MADRID,BARCELONA,2019-04-14 19:30:00,2019-04-14 22:40:00,Preferente,181.5,Flexible,190
MADRID,SEVILLA,2019-04-14 20:00:00,2019-04-14 22:21:00,Turista,71.4938,Promo,141
MADRID,SEVILLA,2019-04-14 20:00:00,2019-04-14 22:21:00,Turista Plus,72.3,Promo,141
MADRID,BARCELONA,2019-04-14 20:30:00,2019-04-14 23:40:00,Preferente,71.4938,Promo,190
MADRID,BARCELONA,2019-04-14 20:30:00,2019-04-14 23:40:00,Turista Plus,102.15,Promo,190
MADRID,SEVILLA,2019-04-14 20:35:00,2019-04-14 23:15:00,Turista Plus,71.4938,Promo,160
MADRID,BARCELONA,2019-04-14 21:25:00,2019-04-14 23:55:00,Turista,71.4938,Flexible,150
MADRID,SEVILLA,2019-04-14 21:25:00,2019-04-15 00:10:00,Turista,62.2,Flexible,165
MADRID,SEVILLA,2019-04-14 21:25:00,2019-04-15 00:10:00,Turista,71.4938,Flexible,165
MADRID,SEVILLA,2019-04-14 21:25:00,2019-04-15 00:10:00,Turista Plus,74.6,Flexible,165
MADRID,BARCELONA,2019-04-14 21:25:00,2019-04-14 23:55:00,Preferente,112.55,Promo,150
MADRID,BARCELONA,2019-04-15 06:10:00,2019-04-15 08:40:00,Turista,75.4,Promo,150
MADRID,BARCELONA,2019-04-15 06:10:00,2019-04-15 08:40:00,Preferente,71.4938,Promo,150
MADRID,SEVILLA,2019-04-15 06:20:00,2019-04-15 09:16:00,Turista Plus,74.6,Flexible,176
MADRID,SEVILLA,2019-04-15 06:20:00,2019-04-15 09:16:00,Turista,71.4938,Promo,176
MADRID,SEVILLA,2019-04-15 06:20:00,2019-04-15 09:16:00,Turista Plus,58.95,Promo,176
MADRID,SEVILLA,2019-04-15 07:00:00,2019-04-15 09:32:00,Turista,76.3,Flexible,152
MADRID,BARCELONA,2019-04-15 07:15:00,2019-04-15 16:37:00,Turista,43.25,Adulto ida,562
MADRID,BARCELONA,2019-04-15 07:30:00,2019-04-15 10:40:00,Preferente,71.4938,Promo,190
MADRID,BARCELONA,2019-04-15 08:00:00,2019-04-15 10:30:00,Turista,100.4,Promo,150
MADRID,SEVILLA,2019-04-15 08:00:00,2019-04-15 10:32:00,Turista,71.4938,Flexible,152
MADRID,SEVILLA,2019-04-15 08:00:00,2019-04-15 10:32:00,Turista,76.3,Flexible,152
MADRID,BARCELONA,2019-04-15 08:00:00,2019-04-15 10:30:00,Preferente,71.4938,Promo,150
MADRID,BARCELONA,2019-04-15 08:30:00,2019-04-15 11:15:00,Turista,71.4938,Flexible,165
MADRID,BARCELONA,2019-04-15 08:30:00,2019-04-15 11:15:00,Turista,107.7,Flexible,165
MADRID,SEVILLA,2019-04-15 09:00:00,2019-04-15 11:38:00,Turista,71.4938,Flexible,158
MADRID,BARCELONA,2019-04-15 09:30:00,2019-04-15 12:34:00,Turista,71.4938,Flexible,184
MADRID,SEVILLA,2019-04-15 09:45:00,2019-04-15 12:27:00,Turista,62.2,Flexible,162
MADRID,SEVILLA,2019-04-15 09:45:00,2019-04-15 12:27:00,Turista,71.4938,Flexible,162
MADRID,SEVILLA,2019-04-15 10:00:00,2019-04-15 12:32:00,Preferente,71.4938,Promo,152
MADRID,SEVILLA,2019-04-15 10:00:00,2019-04-15 12:32:00,Turista,76.3,Flexible,152
MADRID,SEVILLA,2019-04-15 11:00:00,2019-04-15 13:32:00,Turista,76.3,Flexible,152
MADRID,SEVILLA,2019-04-15 11:05:00,2019-04-15 13:41:00,Preferente,71.4938,Promo,156
MADRID,BARCELONA,2019-04-15 11:30:00,2019-04-15 14:40:00,Turista,71.4938,Flexible,190
MADRID,BARCELONA,2019-04-15 11:30:00,2019-04-15 14:40:00,Preferente,181.5,Flexible,190
MADRID,SEVILLA,2019-04-15 12:00:00,2019-04-15 14:32:00,Turista,76.3,Flexible,152
MADRID,BARCELONA,2019-04-15 12:30:00,2019-04-15 15:30:00,Turista,71.4938,Flexible,180
MADRID,SEVILLA,2019-04-15 13:00:00,2019-04-15 15:40:00,Turista,76.3,Flexible,160
MADRID,SEVILLA,2019-04-15 13:10:00,2019-04-15 20:51:00,Turista con enlace,34.35,Promo +,461
MADRID,BARCELONA,2019-04-15 13:25:00,2019-04-15 16:24:00,Turista,107.7,Flexible,179
MADRID,SEVILLA,2019-04-15 13:30:00,2019-04-15 16:05:00,Preferente,71.4938,Promo,155
MADRID,SEVILLA,2019-04-15 14:00:00,2019-04-15 16:32:00,Preferente,69.4,Promo,152
MADRID,BARCELONA,2019-04-15 14:00:00,2019-04-15 16:30:00,Turista,100.4,Promo,150
